"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"16063013"	"COMPANIA LOCALA DE TERMOFICARE COLTERM SA"	"761093"	"33938"	"0"	"0"	"5295"	"0"	"0"	"186"	"0"	"0"	"3571"	"0"
"16083118"	"GDS MANUFACTURING SERVICES SA"	"315277"	"0"	"0"	"446087"	"0"	"0"	"20952"	"0"	"0"	"179042"	"0"	"0"
"15845267"	"ALPINA SHOE PRODUCTION SRL"	"1765"	"0"	"0"	"265924"	"0"	"0"	"20753"	"0"	"0"	"178844"	"0"	"0"
"15848999"	"ALGIDA CENTER SRL"	"11971009"	"13712280"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"16010540"	"Rematholding Co. SRL"	"4642427"	"0"	"0"	"3060165"	"0"	"0"	"132080"	"0"	"0"	"1222147"	"0"	"0"
"17565441"	"PEHART TEC S.A."	"92956"	"0"	"0"	"167123"	"0"	"0"	"7825"	"0"	"0"	"67283"	"0"	"0"
"17233051"	"AUCHAN ROMÂNIA SA"	"23869142"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17367592"	"POLIPOL MOBILA SRL"	"0"	"0"	"0"	"359745"	"0"	"0"	"16739"	"0"	"0"	"81600"	"0"	"0"
"16823860"	"ELECTRO DISTRIBUTION SRL"	"584922"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"16958124"	"DONAU CHEM S.R.L."	"36644237"	"21481519"	"354357"	"27763061"	"11120819"	"1875193"	"552623"	"219725"	"43188"	"9881774"	"3670640"	"502112"
"16743109"	"GEMARCO INDUSTRY SRL"	"98053"	"232"	"0"	"12109"	"0"	"0"	"572"	"0"	"0"	"5274"	"0"	"0"
"16976082"	"TRANSENERGO COM SA"	"4243018"	"582202"	"0"	"0"	"1372"	"0"	"0"	"64"	"0"	"0"	"597"	"0"
"17802998"	"DUVENBECK LOGISTIK SRL"	"1432615"	"175538"	"0"	"821137"	"0"	"0"	"38101"	"0"	"0"	"331340"	"0"	"0"
"17941783"	"PICARA TRADING SRL"	"78492"	"0"	"0"	"154720"	"0"	"0"	"7346"	"0"	"0"	"60441"	"0"	"0"
"17736215"	"METALICPLAS DISTRIBUTION S.A."	"0"	"277671"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17679640"	"CONTINENTAL AUTOMOTIVE SYSTEMS SRL"	"1095515"	"0"	"0"	"3062829"	"0"	"0"	"145122"	"0"	"0"	"1238880"	"0"	"0"
