"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"24568912"	"GRAND ELECTRO SRL"	"9415"	"62680"	"0"	"0"	"142"	"0"	"0"	"4"	"0"	"0"	"61"	"0"
"24850084"	"ATLANTIC TRADE & INVESTMENT COMPANY SRL"	"236993"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24703857"	"INC 1975 SRL"	"61869"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24572549"	"AUTOTEHNIC SERVICE SRL"	"84716"	"0"	"0"	"36895"	"0"	"0"	"1813"	"0"	"0"	"16738"	"0"	"0"
"24579253"	"MARAGRO SRL"	"25419"	"0"	"0"	"45554"	"0"	"0"	"2279"	"0"	"0"	"20387"	"0"	"0"
"24856060"	"MEDICAL TECHNOLOGY CONSULTING SRL"	"87683"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"25011838"	"SIBTUB SRL"	"24470"	"5820"	"0"	"12874"	"808"	"0"	"593"	"31"	"0"	"5316"	"343"	"0"
"24863181"	"POMPONIO CONSTRUCŢII SRL"	"254859"	"126209"	"0"	"25270"	"1412"	"0"	"1128"	"64"	"0"	"9839"	"610"	"0"
"24720408"	"DESA ENGINEERING CONSTRUCTION SRL"	"88567"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24595267"	"ANGELS DISTRIBUTIONS SRL"	"38912"	"0"	"0"	"9702"	"0"	"0"	"424"	"0"	"0"	"3827"	"0"	"0"
"24727295"	"SECURE BUILDING INVEST SRL"	"89440"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24736056"	"COMPTOIR DES PAINS S.R.L."	"160338"	"5734"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24741290"	"CLOCK PROMO SRL"	"153541"	"10024"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24605727"	"MODELIA S.R.L."	"21652"	"1145"	"0"	"48479"	"2636"	"0"	"2256"	"104"	"0"	"20386"	"1253"	"0"
"24888283"	"BPM WAVE INTERNATIONAL SRL"	"1649705"	"321804"	"0"	"3348188"	"720198"	"0"	"151529"	"29971"	"0"	"1370406"	"273303"	"0"
"24889793"	"SERV CONSTRUCT NETWORK SRL"	"626235"	"268688"	"0"	"630032"	"55152"	"0"	"7401"	"0"	"0"	"254320"	"22083"	"0"
"25068931"	"VIOLA S.R.L."	"3946"	"0"	"0"	"105732"	"0"	"0"	"4971"	"0"	"0"	"42286"	"0"	"0"
"24742988"	"N.S. & SONS GLOBAL INVESTMENT S.A."	"78000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24743754"	"ROLI BINA INTERNATIONAL S.R.L."	"231982"	"2861"	"0"	"124229"	"1442"	"0"	"6073"	"74"	"0"	"53350"	"605"	"0"
"24754397"	"REDOX RESEARCH & ANALYTIC SRL"	"70987"	"0"	"0"	"2228"	"0"	"0"	"107"	"0"	"0"	"973"	"0"	"0"
"24625082"	"ROM SEEN PRINT S.R.L."	"227748"	"6005"	"0"	"33649"	"929"	"0"	"1502"	"37"	"0"	"12993"	"302"	"0"
"24625430"	"ALEXANDER HOTEL SRL"	"35803"	"20690"	"0"	"215427"	"66456"	"0"	"8536"	"2649"	"0"	"72590"	"22327"	"0"
